regn_no,semester,subject_code,credits,grade_point,grade
2311045,3,CE 212,2,9.0,AB
2311045,3,CE 213,2,9.0,AB
2311045,3,MA 201,4,0.0,F
2311047,3,CE 201,4,7.0,BC
2311047,3,CE 202,3,7.0,BC
2311047,3,CE 203,3,8.0,BB
2311047,3,CE 204,4,7.0,BC
2311047,3,CE 205,3,6.0,CC
2311047,3,CE 211,2,10.0,AA
2311047,3,CE 212,2,9.0,AB
2311047,3,CE 213,2,8.0,BB
2311047,3,MA 201,4,6.0,CC
2311048,3,CE 201,4,7.0,BC
2311048,3,CE 202,3,8.0,BB
2311048,3,CE 203,3,9.0,AB
2311048,3,CE 204,4,10.0,AA
2311048,3,CE 205,3,7.0,BC
2311048,3,CE 211,2,10.0,AA
2311048,3,CE 212,2,9.0,AB
2311048,3,CE 213,2,9.0,AB
2311048,3,MA 201,4,5.0,CD
2311049,3,CE 201,4,6.0,CC
2311049,3,CE 202,3,6.0,CC
2311049,3,CE 203,3,7.0,BC
2311049,3,CE 204,4,5.0,CD
2311049,3,CE 205,3,6.0,CC
2311049,3,CE 211,2,10.0,AA
2311049,3,CE 212,2,5.0,CD
2311049,3,CE 213,2,7.0,BC
2311049,3,MA 201,4,4.0,DD
2311050,3,CE 201,4,7.0,BC
2311050,3,CE 202,3,6.0,CC
2311050,3,CE 203,3,7.0,BC
2311050,3,CE 204,4,7.0,BC
2311050,3,CE 205,3,7.0,BC
2311050,3,CE 211,2,10.0,AA
2311050,3,CE 212,2,9.0,AB
2311050,3,CE 213,2,9.0,AB
2311050,3,MA 201,4,8.0,BB
2311051,3,CE 201,4,7.0,BC
2311051,3,CE 202,3,7.0,BC
2311051,3,CE 203,3,7.0,BC
2311051,3,CE 204,4,9.0,AB
2311051,3,CE 205,3,6.0,CC
2311051,3,CE 211,2,10.0,AA
2311051,3,CE 212,2,9.0,AB
2311051,3,CE 213,2,9.0,AB
2311051,3,MA 201,4,5.0,CD
2311052,3,CE 201,4,6.0,CC
2311052,3,CE 202,3,7.0,BC
2311052,3,CE 203,3,7.0,BC
2311052,3,CE 204,4,8.0,BB
2311052,3,CE 205,3,7.0,BC
2311052,3,CE 211,2,10.0,AA
2311052,3,CE 212,2,9.0,AB
2311052,3,CE 213,2,9.0,AB
2311052,3,MA 201,4,7.0,BC
2311053,3,CE 201,4,6.0,CC
2311053,3,CE 202,3,7.0,BC
2311053,3,CE 203,3,6.0,CC
2311053,3,CE 204,4,7.0,BC
2311053,3,CE 205,3,5.0,CD
2311053,3,CE 211,2,10.0,AA
2311053,3,CE 212,2,9.0,AB
2311053,3,CE 213,2,8.0,BB
2311053,3,MA 201,4,4.0,DD
2311054,3,CE 201,4,8.0,BB
2311054,3,CE 202,3,10.0,AA
2311054,3,CE 203,3,6.0,CC
2311054,3,CE 204,4,9.0,AB
2311054,3,CE 205,3,7.0,BC
2311054,3,CE 211,2,10.0,AA
2311054,3,CE 212,2,9.0,AB
2311054,3,CE 213,2,9.0,AB
2311054,3,MA 201,4,7.0,BC
2311055,3,CE 201,4,7.0,BC
