Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
84,2311085,7,BC,6,CC,9,AB,5,CD,8,BB,,,,,5,CD,9,AB,4,DD,6,CC,165,6.11,5.6,-
85,2311086,7,BC,5,CD,9,AB,7,BC,9,AB,,,,,5,CD,9,AB,8,BB,6,CC,187,6.93,6.45,-
86,2311087,5,CD,4,DD,9,AB,5,CD,8,BB,,,,,7,BC,8,BB,5,CD,6,CC,161,5.96,5.71,-
87,2311088,7,BC,5,CD,9,AB,6,CC,8,BB,,,,,0,F,9,AB,4,DD,7,BC,147,5.44,4.64,-
88,2311089,6,CC,5,CD,9,AB,7,BC,7,BC,,,,,4,DD,8,BB,0,F,7,BC,144,5.33,4.91,-
89,2311090,4,DD,4,DD,9,AB,5,CD,7,BC,,,,,4,DD,7,BC,4,DD,5,CD,136,5.04,3.58,-
90,2311091,6,CC,5,CD,9,AB,5,CD,8,BB,,,,,4,DD,9,AB,4,DD,7,BC,156,5.78,4.6,-
91,2311092,7,BC,8,BB,9,AB,9,AB,9,AB,,,,,7,BC,8,BB,8,BB,6,CC,213,7.89,7.93,-
92,2311093,7,BC,7,BC,9,AB,7,BC,7,BC,,,,,6,CC,9,AB,6,CC,5,CD,185,6.85,6.38,-
93,2311094,8,BB,9,AB,9,AB,8,BB,9,AB,,,,,7,BC,10,AA,10,AA,7,BC,230,8.52,8.02,-
94,2311095,8,BB,6,CC,9,AB,6,CC,6,CC,,,,,5,CD,9,AB,5,CD,5,CD,170,6.30,6.31,-
95,2311096,7,BC,6,CC,9,AB,9,AB,10,AA,,,,,8,BB,10,AA,6,CC,8,BB,211,7.81,7.07,-
96,2311097,5,CD,0,F,9,AB,0,F,6,CC,,,,,4,DD,8,BB,0,F,6,CC,89,3.30,3.04,-
97,2311098,7,BC,7,BC,10,AA,8,BB,9,AB,,,,,6,CC,10,AA,8,BB,7,BC,209,7.74,7.15,-
98,2311099,9,AB,8,BB,10,AA,10,AA,10,AA,,,,,7,BC,10,AA,8,BB,10,AA,239,8.85,8.25,-
99,2311100,8,BB,7,BC,9,AB,9,AB,7,BC,,,,,7,BC,10,AA,8,BB,7,BC,214,7.93,7.51,-
100,2311101,7,BC,9,AB,9,AB,8,BB,7,BC,,,,,7,BC,9,AB,9,AB,7,BC,217,8.04,7.33,-
101,2311102,8,BB,6,CC,9,AB,7,BC,8,BB,,,,,6,CC,8,BB,6,CC,7,BC,188,6.96,6.24,-
102,2311103,6,CC,6,CC,9,AB,8,BB,9,AB,,,,,6,CC,9,AB,8,BB,7,BC,198,7.33,7.42,-
103,2311104,8,BB,8,BB,10,AA,8,BB,8,BB,,,,,7,BC,9,AB,6,CC,7,BC,208,7.70,7.38,-
104,2311105,8,BB,7,BC,9,AB,9,AB,10,AA,,,,,8,BB,10,AA,8,BB,8,BB,226,8.37,8.24,-
105,2311106,6,CC,6,CC,9,AB,8,BB,10,AA,,,,,7,BC,9,AB,8,BB,9,AB,208,7.70,7.2,-
Slno,Regn. No.,CE102,(3),CH101,(4),CH111,(2),CS101,(4),CS111,(2),EAA01,(0),EAA02,(0),EC101,(4),EC111,(2),MA102,(4),ME111,(2),GP,SGPA,CGPA,EAA
106,2311107,6,CC,5,CD,10,AA,7,BC,8,BB,,,,,7,BC,10,AA,7,BC,9,AB,196,7.26,6.51,-
107,2311108,10,AA,8,BB,9,AB,9,AB,7,BC,,,,,8,BB,10,AA,6,CC,10,AA,226,8.37,7.58,-
108,2311109,6,CC,5,CD,9,AB,7,BC,7,BC,,,,,6,CC,10,AA,6,CC,8,BB,182,6.74,5.27,-
109,2311110,7,BC,6,CC,9,AB,7,BC,7,BC,,,,,7,BC,9,AB,6,CC,7,BC,189,7.00,7.22,-
110,2311111,7,BC,5,CD,9,AB,6,CC,7,BC,,,,,6,CC,9,AB,4,DD,7,BC,169,6.26,5.71,-
111,2311112,6,CC,6,CC,9,AB,5,CD,7,BC,,,,,5,CD,8,BB,5,CD,6,CC,162,6.00,5.2,-
112,2311113,7,BC,6,CC,9,AB,7,BC,10,AA,,,,,8,BB,9,AB,7,BC,8,BB,205,7.59,6.55,-
113,2311114,4,DD,4,DD,9,AB,5,CD,7,BC,,,,,5,CD,9,AB,5,CD,7,BC,152,5.63,4.64,-
114,2311115,5,CD,0,F,9,AB,4,DD,7,BC,,,,,4,DD,8,BB,0,F,7,BC,109,4.04,3.24,-
115,2311116,6,CC,6,CC,9,AB,7,BC,8,BB,,,,,6,CC,8,BB,5,CD,6,CC,176,6.52,6.05,-
116,2311117,6,CC,6,CC,9,AB,7,BC,8,BB,,,,,6,CC,9,AB,8,BB,8,BB,194,7.19,6.36,-
117,2311118,6,CC,4,DD,9,AB,7,BC,7,BC,,,,,4,DD,8,BB,6,CC,8,BB,166,6.15,5.25,-
118,2311119,8,BB,7,BC,10,AA,9,AB,8,BB,,,,,8,BB,10,AA,8,BB,9,AB,226,8.37,7.85,-
119,2311120,7,BC,7,BC,10,AA,8,BB,8,BB,,,,,5,CD,10,AA,7,BC,7,BC,199,7.37,7.36,-
120,2311121,9,AB,7,BC,9,AB,6,CC,10,AA,,,,,7,BC,10,AA,6,CC,9,AB,207,7.67,7.31,-
121,2311122,6,CC,5,CD,9,AB,6,CC,7,BC,,,,,5,CD,9,AB,6,CC,7,BC,170,6.30,6.05,-
122,2311123,7,BC,5,CD,9,AB,6,CC,9,AB,,,,,4,DD,9,AB,4,DD,6,CC,163,6.04,4.98,-
123,2311124,6,CC,4,DD,9,AB,7,BC,9,AB,,,,,4,DD,8,BB,4,DD,6,CC,158,5.85,5.47,-
124,2311125,8,BB,7,BC,10,AA,8,BB,10,AA,,,,,7,BC,9,AB,6,CC,8,BB,210,7.78,6.89,-
