regn_no,semester,GP,SGPA,CGPA,EAA
2316055,5,207.0,7.39,7.34,Satisfactory
2316056,5,243.0,8.68,8.07,Satisfactory
2316057,5,194.0,6.93,7.0,Satisfactory
2316058,5,228.0,8.14,7.65,Satisfactory
2316061,5,140.0,5.0,5.41,Satisfactory
2316062,5,187.0,6.68,6.93,Satisfactory
2316063,5,254.0,9.07,8.93,Satisfactory
2316064,5,221.0,7.89,7.64,Satisfactory
2316065,5,239.0,8.54,8.3,Satisfactory
2316066,5,272.0,9.71,9.01,Satisfactory
2316067,5,221.0,7.89,7.35,Satisfactory
2316068,5,240.0,8.57,7.78,Satisfactory
2316069,5,174.0,6.21,6.09,Satisfactory
2316070,5,199.0,7.11,6.7,Satisfactory
2316071,5,253.0,9.04,7.91,Satisfactory
2316072,5,232.0,8.29,7.82,Satisfactory
2316073,5,224.0,8.0,7.7,Satisfactory
2316074,5,241.0,8.61,7.99,Satisfactory
2316075,5,206.0,7.36,7.37,Satisfactory
2316076,5,207.0,7.39,7.41,Satisfactory
2316077,5,256.0,9.14,8.86,Satisfactory
2316078,5,202.0,7.21,7.25,Satisfactory
2316079,5,231.0,8.25,7.69,Satisfactory
2316080,5,211.0,7.54,8.41,Satisfactory
2316082,5,204.0,7.29,7.47,Satisfactory
2316083,5,245.0,8.75,8.01,Satisfactory
2316084,5,209.0,7.46,7.66,Satisfactory
2316085,5,210.0,7.5,7.94,Satisfactory
